Название,№ ПУ,"Сборы, руб.",Тип,Возрастное ограничение
Холоп,111021719,3073568690.79,художественный,«12+» для детей старше 12 лет
Король Лев,124004919 / 124002720,2635292045.64,анимационный,«6+» для детей старше 6 лет
Мстители: Финал,121005519,2576613776.83,художественный,«16+» для детей старше 16 лет
Т-34,111024918,2271754004.52,художественный,«12+» для детей старше 12 лет
Малефисента: Владычица тьмы,121026219,1911944865.95,художественный,«6+» для детей старше 6 лет
Джокер,121027519,1890368076.47,художественный,«18+» запрещено для детей
Холодное сердце II,124009619,1827244672.81,анимационный,«6+» для детей старше 6 лет
Как приручить дракона 3,124000719,1689540830.24,анимационный,«6+» для детей старше 6 лет
Тайная жизнь домашних животных 2,124003519,1478921168.46,анимационный,«6+» для детей старше 6 лет
Аладдин,121011419 / 121009320,1216635885.95,художественный,«6+» для детей старше 6 лет
Человек-Паук: Вдали от дома,121018019,1203696013.3,художественный,«12+» для детей старше 12 лет
Капитан Марвел,121002119,1144426298.04,художественный,«16+» для детей старше 16 лет
Однажды... в Голливуде,121021719,1121948935.25,художественный,«18+» запрещено для детей
Джуманджи: Новый уровень,121034919,1120026171.85,художественный,«12+» для детей старше 12 лет
Оно-2,121025619,1107949704.83,художественный,«18+» запрещено для детей
Форсаж: Хоббс и Шоу,121021319,1065210005.03,художественный,«12+» для детей старше 12 лет
Полицейский с Рублевки. Новогодний беспредел 2,111019519,1039706431.83,художественный,«12+» для детей старше 12 лет
Семейка Аддамс,124008819,792451044.86,анимационный,«12+» для детей старше 12 лет
Алита: Боевой ангел,121000619,757864674.99,художественный,«16+» для детей старше 16 лет
Союз спасения,111022019,717703185.53,художественный,«12+» для детей старше 12 лет
Эверест,124008119,689483900.11,анимационный,«6+» для детей старше 6 лет
Звёздные войны: Скайуокер. Восход,121037619 / 121009620,671217880,художественный,«16+» для детей старше 16 лет
Ford против Ferrari,121032719 / 121009020,652455277.78,художественный,«16+» для детей старше 16 лет
Стекло,121030318,643121241.37,художественный,«16+» для детей старше 16 лет
Шазам!,121006519,634644321.83,художественный,«12+» для детей старше 12 лет
Люди в черном: Интернэшнл,121015319,593297732.56,художественный,«12+» для детей старше 12 лет
Зеленая книга,121029418,573225709.24,художественный,«16+» для детей старше 16 лет
Громкая связь,111001519,524897298.17,художественный,«16+» для детей старше 16 лет
Angry birds 2 в кино,124005619,517116584.52,анимационный,«6+» для детей старше 6 лет
Иван Царевич и Серый волк 4,114005019,501069235,анимационный,«6+» для детей старше 6 лет
Терминатор: Темные судьбы,121030819,490745769.35,художественный,«16+» для детей старше 16 лет
История игрушек 4,124004519,487397070.11,анимационный,«6+» для детей старше 6 лет
Покемон. Детектив Пикачу,121012719,481552224.42,художественный,«12+» для детей старше 12 лет
Дамбо,121005419,472692133.49,художественный,«6+» для детей старше 6 лет
Бабушка лёгкого поведения 2,111000519,439776371.25,художественный,«16+» для детей старше 16 лет
Джон Уик 3,121011919,438116605.55,художественный,«18+» запрещено для детей
Люди Икс: Темный феникс,121014119,418607611.6,художественный,«16+» для детей старше 16 лет
Миллиард,111006719,408646665.7,художественный,«12+» для детей старше 12 лет
Фиксики против Кработов,114004819,387590521.72,анимационный,«6+» для детей старше 6 лет
Текст,111015619,379954258.56,художественный,«18+» запрещено для детей
Кладбище домашних животных,124001819,373640084.53,анимационный,«18+» запрещено для детей
Достать ножи,121030519,371749522.96,художественный,«16+» для детей старше 16 лет
Проклятие Аннабель-3,121016819,349243824.5,художественный,«18+» запрещено для детей
